year,country,player,position,overall,canKick
2023,France,Dorian Aldegheri,Pilier,85,false
2023,France,Uini Atonio,Pilier,89,false
2023,France,Cyril Baille,Pilier,94,false
2023,France,Sipili Falatea,Pilier,82,false
2023,France,Jean-Baptiste Gros,Pilier,86,false
2023,France,Reda Wardi,Pilier,84,false
2023,France,Pierre Bourgarit,Talonneur,88,false
2023,France,Julien Marchand,Talonneur,89,false
2023,France,Peato Mauvaka,Talonneur,91,false
2023,France,Bastien Chalureau,DeuxiemeLigne,90,false
2023,France,Thibaud Flament,DeuxiemeLigne,90,false
2023,France,Romain Taofifénua,DeuxiemeLigne,83,false
2023,France,Paul Willemse  ,DeuxiemeLigne,81,false
2023,France,Cameron Woki,DeuxiemeLigne,86,false
2023,France,Paul Boudehent,TroisiemeLigneAile,89,false
2023,France,François Cros,TroisiemeLigneAile,89,false
2023,France,Anthony Jelonch,TroisiemeLigneAile,87,false
2023,France,Sekou Macalou,TroisiemeLigneAile,82,false
2023,France,Charles Ollivon,TroisiemeLigneAile,91,false
2023,France,Grégory Alldritt,TroisiemeLigneCentre,95,false
2023,France,Baptiste Couilloud,DemiDeMelee,91,false
2023,France,Antoine Dupont  ,DemiDeMelee,99,false
2023,France,Maxime Lucu,DemiDeMelee,86,true
2023,France,Antoine Hastoy,DemiOuverture,89,true
2023,France,Matthieu Jalibert,DemiOuverture,89,true
2023,France,Jonathan Danty,Centre,88,false
2023,France,Gaël Fickou,Centre,90,false
2023,France,Yoram Moefana,Centre,84,false
2023,France,Arthur Vincent,Centre,81,false
2023,France,Louis Bielle-Biarrey,Ailier,88,false
2023,France,Damian Penaud,Ailier,95,false
2023,France,Gabin Villière,Ailier,79,false
2023,France,Melvyn Jaminet,Arriere,84,true
2023,France,Thomas Ramos,Arriere,94,true
2023,Italie,Pietro Ceccarelli,Pilier,72,false
2023,Italie,Simone Ferrari,Pilier,72,false
2023,Italie,Danilo Fischetti,Pilier,81,false
2023,Italie,Ivan Nemer,Pilier,72,false
2023,Italie,Marco Riccioni,Pilier,71,false
2023,Italie,Federico Zani,Pilier,66,false
2023,Italie,Luca Bigi  ,Talonneur,72,false
2023,Italie,Hame Faiva,Talonneur,69,false
2023,Italie,Marco Manfredi,Talonneur,67,false
2023,Italie,Giacomo Nicotera,Talonneur,69,false
2023,Italie,Niccolò Cannone,DeuxiemeLigne,77,false
2023,Italie,Dino Lamb,DeuxiemeLigne,72,false
2023,Italie,Federico Ruzza,DeuxiemeLigne,82,false
2023,Italie,David Sisi,DeuxiemeLigne,66,false
2023,Italie,Michele Lamaro  ,TroisiemeLigneAile,85,false
2023,Italie,Sebastian Negri,TroisiemeLigneAile,83,false
2023,Italie,Giovanni Pettinelli,TroisiemeLigneAile,72,false
2023,Italie,Manuel Zuliani,TroisiemeLigneAile,66,false
2023,Italie,Lorenzo Cannone,TroisiemeLigneCentre,82,false
2023,Italie,Toa Halafihi,TroisiemeLigneCentre,68,false
2023,Italie,Alessandro Fusco,DemiDeMelee,78,false
2023,Italie,Alessandro Garbisi,DemiDeMelee,72,false
2023,Italie,Martin Page-Relo,DemiDeMelee,70,false
2023,Italie,Stephen Varney,DemiDeMelee,70,false
2023,Italie,Tommaso Allan,DemiOuverture,81,true
2023,Italie,Giacomo Da Re,DemiOuverture,73,true
2023,Italie,Paolo Garbisi,DemiOuverture,84,true
2023,Italie,Juan Ignacio Brex,Centre,82,false
2023,Italie,Luca Morisi,Centre,70,false
2023,Italie,Pierre Bruno,Ailier,73,false
2023,Italie,Monty Ioane,Ailier,81,false
2023,Italie,Paolo Odogwu,Ailier,69,false
2023,Italie,Ange Capuozzo,Arriere,85,false
2023,Italie,Lorenzo Pani,Arriere,66,false
2023,Namibie,Jason Benade  ,Pilier,62,false
2023,Namibie,Aranos Coetzee,Pilier,57,false
2023,Namibie,Desiderius Sethie  ,Pilier,59,false
2023,Namibie,Haitembu Shikufa,Pilier,57,false
2023,Namibie,Casper Viviers,Pilier,52,false
2023,Namibie,Obert Nortjé  ,Talonneur,58,false
2023,Namibie,Louis van der Westhuizen,Talonneur,54,false
2023,Namibie,Torsten van Jaarsveld,Talonneur,52,false
2023,Namibie,Tiaan de Klerk  ,DeuxiemeLigne,62,false
2023,Namibie,Adriaan Ludick  ,DeuxiemeLigne,58,false
2023,Namibie,Mahepisa Tjeriko,DeuxiemeLigne,54,false
2023,Namibie,Tjiuee Uanivi,DeuxiemeLigne,56,false
2023,Namibie,Pieter-Jan van Lill,DeuxiemeLigne,55,false
