country,year,description,logo_url
Angleterre,1987,Équipe nationale : Angleterre — Coupe du monde de rugby 1987.,/logos/angleterre.png
Argentine,1987,Équipe nationale : Argentine — Coupe du monde de rugby 1987.,/logos/argentine.png
Australie,1987,Équipe nationale : Australie — Coupe du monde de rugby 1987.,/logos/australie.png
Canada,1987,Équipe nationale : Canada — Coupe du monde de rugby 1987.,/logos/canada.png
Écosse,1987,Équipe nationale : Écosse — Coupe du monde de rugby 1987.,/logos/ecosse.png
Fidji,1987,Équipe nationale : Fidji — Coupe du monde de rugby 1987.,/logos/fidji.png
France,1987,Équipe nationale : France — Coupe du monde de rugby 1987.,/logos/france.png
Irlande,1987,Équipe nationale : Irlande — Coupe du monde de rugby 1987.,/logos/irlande.png
Italie,1987,Équipe nationale : Italie — Coupe du monde de rugby 1987.,/logos/italie.png
Japon,1987,Équipe nationale : Japon — Coupe du monde de rugby 1987.,/logos/japon.png
Nouvelle_Zélande,1987,Équipe nationale : Nouvelle-Zélande — Coupe du monde de rugby 1987.,/logos/nouvelle-zelande.png
Pays_de_Galles,1987,Équipe nationale : Pays de Galles — Coupe du monde de rugby 1987.,/logos/pays-de-galles.png
Roumanie,1987,Équipe nationale : Roumanie — Coupe du monde de rugby 1987.,/logos/roumanie.png
Tonga,1987,Équipe nationale : Tonga — Coupe du monde de rugby 1987.,/logos/tonga.png
USA,1987,Équipe nationale : États-Unis — Coupe du monde de rugby 1987.,/logos/etats-unis.png
Zimbabwe,1987,Équipe nationale : Zimbabwe — Coupe du monde de rugby 1987.,/logos/zimbabwe.png
Angleterre,1991,Équipe nationale : Angleterre — Coupe du monde de rugby 1991.,/logos/angleterre.png
Argentine,1991,Équipe nationale : Argentine — Coupe du monde de rugby 1991.,/logos/argentine.png
Australie,1991,Équipe nationale : Australie — Coupe du monde de rugby 1991.,/logos/australie.png
Canada,1991,Équipe nationale : Canada — Coupe du monde de rugby 1991.,/logos/canada.png
Écosse,1991,Équipe nationale : Écosse — Coupe du monde de rugby 1991.,/logos/ecosse.png
Fidji,1991,Équipe nationale : Fidji — Coupe du monde de rugby 1991.,/logos/fidji.png
France,1991,Équipe nationale : France — Coupe du monde de rugby 1991.,/logos/france.png
Irlande,1991,Équipe nationale : Irlande — Coupe du monde de rugby 1991.,/logos/irlande.png
Italie,1991,Équipe nationale : Italie — Coupe du monde de rugby 1991.,/logos/italie.png
Japon,1991,Équipe nationale : Japon — Coupe du monde de rugby 1991.,/logos/japon.png
Nouvelle_Zélande,1991,Équipe nationale : Nouvelle-Zélande — Coupe du monde de rugby 1991.,/logos/nouvelle-zelande.png
Pays_de_Galles,1991,Équipe nationale : Pays de Galles — Coupe du monde de rugby 1991.,/logos/pays-de-galles.png
Roumanie,1991,Équipe nationale : Roumanie — Coupe du monde de rugby 1991.,/logos/roumanie.png
Samoa,1991,Équipe nationale : Samoa — Coupe du monde de rugby 1991.,/logos/samoa.png
USA,1991,Équipe nationale : États-Unis — Coupe du monde de rugby 1991.,/logos/etats-unis.png
Zimbabwe,1991,Équipe nationale : Zimbabwe — Coupe du monde de rugby 1991.,/logos/zimbabwe.png
Afrique_du_Sud,1995,Équipe nationale : Afrique du Sud — Coupe du monde de rugby 1995.,/logos/afrique-du-sud.png
Angleterre,1995,Équipe nationale : Angleterre — Coupe du monde de rugby 1995.,/logos/angleterre.png
Argentine,1995,Équipe nationale : Argentine — Coupe du monde de rugby 1995.,/logos/argentine.png
Australie,1995,Équipe nationale : Australie — Coupe du monde de rugby 1995.,/logos/australie.png
Canada,1995,Équipe nationale : Canada — Coupe du monde de rugby 1995.,/logos/canada.png
Cote_d_Ivoire,1995,Équipe nationale : Côte d'Ivoire — Coupe du monde de rugby 1995.,/logos/cote-d-ivoire.png
Écosse,1995,Équipe nationale : Écosse — Coupe du monde de rugby 1995.,/logos/ecosse.png
France,1995,Équipe nationale : France — Coupe du monde de rugby 1995.,/logos/france.png
Irlande,1995,Équipe nationale : Irlande — Coupe du monde de rugby 1995.,/logos/irlande.png
Italie,1995,Équipe nationale : Italie — Coupe du monde de rugby 1995.,/logos/italie.png
Japon,1995,Équipe nationale : Japon — Coupe du monde de rugby 1995.,/logos/japon.png
Nouvelle_Zélande,1995,Équipe nationale : Nouvelle-Zélande — Coupe du monde de rugby 1995.,/logos/nouvelle-zelande.png
Pays_de_Galles,1995,Équipe nationale : Pays de Galles — Coupe du monde de rugby 1995.,/logos/pays-de-galles.png
Roumanie,1995,Équipe nationale : Roumanie — Coupe du monde de rugby 1995.,/logos/roumanie.png
Samoa,1995,Équipe nationale : Samoa — Coupe du monde de rugby 1995.,/logos/samoa.png
